               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.01907,            0.010406,          0.00038422,             0.85273,              0.8647,             0.89474,             0.68354,            0.021798,           0.0077892,           0.0044113,            0.006535,            0.006535,            0.006535
                  37,            0.019441,            0.010314,          0.00036571,             0.91555,             0.84637,             0.90905,             0.69176,            0.022886,           0.0077238,            0.002418,            0.006436,            0.006436,            0.006436
                  38,            0.019115,            0.010304,          0.00035445,              0.8733,             0.90394,              0.9174,             0.70574,            0.021606,           0.0077004,           0.0028321,            0.006337,            0.006337,            0.006337
                  39,            0.019124,            0.010376,          0.00035375,             0.92185,             0.83782,             0.90369,             0.68358,            0.021863,           0.0079655,           0.0031434,            0.006238,            0.006238,            0.006238
                  40,            0.018536,            0.010077,          0.00032294,              0.9165,             0.85568,             0.91661,             0.70138,            0.021838,           0.0078789,           0.0025361,            0.006139,            0.006139,            0.006139
                  41,            0.018706,            0.010239,          0.00033704,              0.8641,             0.86556,             0.90054,             0.67885,            0.022551,           0.0079605,            0.003092,             0.00604,             0.00604,             0.00604
                  42,            0.018836,            0.010148,          0.00034643,             0.91074,             0.86981,             0.91754,             0.70367,             0.02161,            0.008267,           0.0025616,            0.005941,            0.005941,            0.005941
                  43,            0.018957,            0.010249,          0.00029972,             0.90465,             0.85319,             0.91094,             0.69907,            0.021589,           0.0080365,           0.0031095,            0.005842,            0.005842,            0.005842
                  44,            0.018019,           0.0097682,          0.00034971,             0.91265,             0.85747,              0.9149,             0.70318,            0.021368,           0.0080526,           0.0029156,            0.005743,            0.005743,            0.005743
                  45,            0.018258,           0.0098945,          0.00031605,             0.90131,             0.87755,             0.90801,              0.7044,            0.021378,           0.0076476,           0.0034023,            0.005644,            0.005644,            0.005644
                  46,            0.017751,           0.0093524,          0.00031793,             0.89898,             0.89646,             0.91868,             0.68735,            0.022213,            0.007862,           0.0034718,            0.005545,            0.005545,            0.005545
                  47,            0.017817,           0.0097899,          0.00029515,             0.90721,             0.89032,             0.90997,             0.69885,            0.021647,           0.0077069,           0.0016985,            0.005446,            0.005446,            0.005446
                  48,            0.017846,           0.0098263,          0.00031092,             0.90504,             0.85658,              0.9125,             0.69747,             0.02203,            0.007934,           0.0024123,            0.005347,            0.005347,            0.005347
                  49,            0.017413,           0.0097014,          0.00028608,             0.86029,             0.89832,             0.90903,             0.69582,            0.021436,           0.0077226,            0.003665,            0.005248,            0.005248,            0.005248
                  50,            0.017655,           0.0096935,          0.00026668,              0.8968,              0.9025,             0.91416,             0.70576,            0.021233,           0.0078526,           0.0025018,            0.005149,            0.005149,            0.005149
                  51,            0.017351,           0.0096485,          0.00022338,              0.9215,             0.87047,              0.9136,             0.70263,              0.0215,           0.0078153,           0.0035022,             0.00505,             0.00505,             0.00505
                  52,            0.017138,           0.0096197,          0.00027694,             0.90452,             0.87519,             0.91995,             0.71225,            0.021142,           0.0078894,           0.0037382,            0.004951,            0.004951,            0.004951
                  53,             0.01694,           0.0094816,          0.00026113,             0.90695,             0.89727,              0.9161,             0.70327,             0.02101,           0.0077353,           0.0019692,            0.004852,            0.004852,            0.004852
                  54,            0.016682,           0.0093369,          0.00031794,             0.90393,             0.90147,              0.9207,             0.70943,            0.021435,           0.0079123,           0.0026289,            0.004753,            0.004753,            0.004753
                  55,            0.016702,           0.0094173,          0.00021952,             0.92735,             0.86882,               0.913,             0.69627,            0.021705,           0.0078077,           0.0025599,            0.004654,            0.004654,            0.004654
                  56,            0.016963,           0.0095994,          0.00022315,             0.91729,             0.87493,             0.91455,             0.71322,            0.020772,           0.0078823,           0.0029392,            0.004555,            0.004555,            0.004555
                  57,            0.016758,           0.0096199,          0.00027008,             0.89859,             0.89459,             0.91916,             0.70688,            0.021343,           0.0079817,           0.0028662,            0.004456,            0.004456,            0.004456
                  58,            0.016593,           0.0092621,          0.00023054,             0.91638,             0.87005,             0.91482,             0.71282,             0.02115,           0.0079269,           0.0027985,            0.004357,            0.004357,            0.004357
                  59,            0.016211,           0.0092343,          0.00021812,             0.89886,             0.89062,             0.91641,              0.7103,            0.020892,           0.0079628,           0.0027291,            0.004258,            0.004258,            0.004258
